api10,Max of Elevation Gr,Max of Elevation Kb
3305301658,2650,2659
3305301403,2650,2659
0000000000,0000,0000
2501905000,2650,2659
2501905001,2693,2705
2501905002,2693,
2501905004,2684,2695
2501905005,2687,2700
2501905006,2686,2695
2501905007,2684,2696
2501905008,2365,2375
2501905009,2668,2678
2501905010,2688,
2501905011,2749,2759
2501905012,2534,2544
2501905013,2459,2473
2501905014,2687,2698
2501905015,2729,2743
2501905016,2489,2500
2501905017,2696,2707
2501905018,2335,2347
2501905019,2765,2776
2501905020,2660.8,2671.8
2501905021,2517,
2501905022,2947,2958
2501905023,2448,
2501905024,2548,2559
2501905025,2544,2558
2501905026,2984,2995
2501905027,2392,
2501905028,2541,2551
2501905029,2809,2820
2501905080,2718,2732
2501905081,2753,2756
2501905082,2467,2477
2501905083,2743,2756
2501905084,2789,2802
2501905085,2784,
2501905133,2501,
2501906133,2510,
2501921001,2765,
2501921002,2714,2724
2501921003,2784,2795
2501921004,2759,2770
2501921005,2680,2691
2501921006,2769,2781
2501921007,2789,2801
2501921008,2416,2429
2501921009,2754,2766
2501921010,2769,2780
2501921011,2594,2606
2501921012,2714,2726
2501921013,2413,
2501921014,2717,2730
2501921015,2775,2787
2501921016,2676,2683
2501921017,2616,2628
2501921018,2566,2578
2501921019,2561,2573
2501921020,2491,2504
2501921021,2550,2562
2501921023,2458,2463
2501921024,2452,2462
2501921025,2626,2630
2501921026,3043,3055
2501921027,2777,2789
2501921028,2794,2806
2501921029,2610,2624
2501921030,2508,2520
2501921031,2278,2290
2501921032,2842,2854
2501921033,2719,2720
2501921034,2865,2874
2501921035,2608,2615
2501921036,2685,2690
2501921037,2536,2548
2501921038,2552,2564
2501921039,2445,2456
2501921040,2503,2513
2501921041,2473,2483
2501921042,2768,2778
2501921043,2747,2759
2501921044,2674,2685
2501921046,2562,2578
2501921047,2378,2394
2501921048,2771,2788
2501921049,2794,2807
2501921050,2761,2775
2501921051,2842,
2501921052,2540,2558
2501921054,2788,2798
2501921055,2556,2572
2501921056,2714,2728
2501921057,2340,2352
2501921058,2673,2686
2501921059,2669,2682
2501921060,2611,2624
2501921061,2774,2795
2501921062,2666,2679
2501921064,2466,2479
2501921065,2555,2568
2501921066,2758,2769
2501921067,2439,2454
2501921068,2717,2733
2501921069,2757,2772
2501921070,2761,2774
2501921071,2658,2669
2501921072,2586,2608
2501921073,2627,2638
2501921074,2744,2759
2501921075,2591,2601
2501921076,2735,2747
2501921077,2640,2653
2501921078,2653,2667
2501921079,2598,2610
2501921080,2746,2757
2501921081,2331,2343
2501921082,2870,2883
2501921083,2822,2835
2501921084,2635,2649
2501921085,2664,2676
2501921086,2680,2694
2501921087,2850,2863
2501921088,2436,2447
2501921089,2378,2391
2501921090,2270.3,2278
2501921091,2592,2599
2501921092,2644,2658
2501921093,2592,2606
2501921094,2626,2640
2501921095,2615,2629
2501921096,2374,2388
2501921097,2450,2464
2501921098,2527,2540
2501921099,2343,2356
2501921100,2519,2532
2501921101,2295,2301
2501921102,2648,2671
2501921105,2563,
2501921106,2523,2536
2501921107,2509,
2501921108,2417,
2501921109,2703,2715
2501921110,2715,2731
2501921111,2680,2690
2501921112,2603,2613
2501921113,2527,2541
2501921114,2799,2812
2501921115,2811,2824
